ox_code	kt_2la	kt_2rb
AJ0096-C	0	0
AJ0097-C	1	0
AJ0098-C	0	0
AJ0100-C	0	0
AJ0101-C	0	0
AJ0102-C	0	0
AJ0103-C	1	0
AJ0105-C	0	0
AJ0107-C	0	0
AJ0109-C	0	0
AJ0113-C	1	0
AJ0115-C	0	0
AJ0116-C	1	0
AK0065-C	2	0
AK0066-C	2	0
AK0067-C	0	0
AK0068-C	1	0
AK0069-C	0	0
AK0070-C	2	0
AK0072-C	1	0
AK0073-C	1	0
AK0074-C	1	0
AK0075-C	1	0
AK0076-C	1	0
AK0077-C	1	0
AK0078-C	0	0
AK0079-C	1	0
AK0080-C	1	0
AK0081-C	0	0
AK0082-C	1	0
AK0085-C	1	0
AK0086-C	1	0
AK0087-C	2	0
AK0088-C	1	0
AK0089-C	2	0
AK0090-C	1	0
AK0091-C	1	0
AK0092-C	1	0
AK0093-C	2	0
AK0094-C	2	0
AK0095-C	1	0
AK0096-C	2	0
AK0098-C	2	0
AK0099-C	2	0
AK0100-C	1	0
AK0101-C	2	0
AK0102-C	1	0
AK0103-C	0	0
AK0104-C	1	0
AK0105-C	0	0
AK0106-C	0	0
AK0108-C	1	0
AK0109-C	2	0
AK0110-C	2	0
AK0116-C	2	0
AK0119-C	1	0
AK0127-C	2	0
AN0007-C	0	0
AN0008-C	0	1
AN0009-C	1	1
AN0010-C	0	0
AN0011-C	0	1
AN0012-C	0	0
AN0014-C	0	0
AN0016-C	1	1
AN0017-C	1	2
AN0018-C	0	0
AN0019-C	0	0
AN0020-C	0	1
AN0022-C	1	1
AN0023-C	2	1
AN0024-C	2	2
AN0025-C	1	0
AN0026-C	2	1
AN0027-C	1	2
AN0028-C	0	1
AN0029-C	1	1
AN0030-C	2	0
AN0031-C	1	1
AN0032-C	1	2
AN0033-C	1	1
AN0034-C	2	1
AN0035-C	0	1
AN0036-C	2	2
AN0037-C	1	1
AN0038-C	1	1
AN0039-C	1	1
AN0040-C	2	2
AN0041-C	1	1
AN0042-C	1	2
AN0043-C	2	2
AN0045-C	1	1
AN0046-C	2	1
AN0047-C	2	2
AN0048-C	2	2
AN0049-C	2	2
AN0050-C	1	2
AN0051-C	1	1
AN0053-C	2	2
AN0054-C	2	2
AN0055-C	0	1
AN0056-C	1	1
AN0057-C	0	2
AN0058-C	2	2
AN0059-C	1	2
AN0060-C	2	2
AN0063-C	1	2
AN0064-C	2	1
AN0065-C	1	2
AN0066-C	1	2
AN0067-C	2	1
AN0068-C	0	1
AN0069-C	0	2
AN0070-C	2	2
AN0071-C	2	2
AN0072-C	1	1
AN0073-C	0	1
